scientific_name,L_value,T_value,F_value,R_value,N_value,S_value
Abies alba,,4.66,6.08,5.3,5.5,0.0
Abies borisii-regis,4.6,5.4,5.2,6.9,4.4,0.0
Abies cephalonica,8.0,7.0,4.0,6.0,5.0,0.0
Abies grandis,7.0,4.0,5.0,4.0,5.0,0.0
Abies nebrodensis,3.0,7.0,3.0,6.0,3.0,0.0
Abies nordmanniana,7.0,4.0,5.0,4.0,5.0,0.0
Abies pinsapo,8.0,7.0,4.0,7.0,4.0,0.0
Abutilon theophrasti,7.5,,5.21,6.6,,0.4
Acacia dealbata,8.5,8.67,5.0,5.5,4.0,0.0
Acacia saligna,8.5,9.0,5.0,5.5,4.0,3.0
Acantholimon ulicinum,9.0,7.0,4.0,7.0,4.0,0.0
Acanthus hungaricus,4.6,6.3,5.1,6.9,4.3,0.0
Acanthus mollis,6.0,8.33,3.5,7.0,7.5,0.0
Acanthus spinosus,7.5,10.5,3.5,5.0,5.5,0.0
Acer campestre,5.67,,,7.3,5.38,0.0
Acer cappadocicum aggr.,6.5,6.5,4.0,7.0,5.0,0.0
Acer hyrcanum,5.0,5.25,6.25,,,
Acer monspessulanum,6.5,8.0,3.25,7.8,4.25,0.0
Acer negundo,6.17,6.43,6.21,6.8,6.8,0.2
Acer opalus aggr.,,,4.33,7.2,5.69,0.0
Acer platanoides,4.69,5.84,5.58,6.5,6.33,0.0
Acer pseudoplatanus,4.72,,,5.8,6.62,0.0
Acer sempervirens,5.0,,5.0,7.0,4.0,0.0
Acer tataricum,5.0,6.83,5.12,7.0,4.0,1.0
Achillea ageratifolia,8.9,6.9,2.1,7.8,1.8,0.0
Achillea ageratum,8.0,8.33,6.5,6.0,5.0,0.0
Achillea aspleniifolia,8.0,6.67,6.0,7.0,4.5,2.67
Achillea atrata,9.0,1.5,5.0,8.0,3.0,0.0
Achillea barrelieri,9.0,3.5,2.0,7.0,1.0,0.0
Achillea carpatica,7.5,3.5,6.25,,,
Achillea clavennae,8.5,2.33,4.0,7.5,3.0,0.0
Achillea clusiana,9.0,2.0,5.0,9.0,3.0,0.0
Achillea clypeolata,8.4,7.2,3.2,7.6,2.2,0.1
Achillea coarctata,8.3,7.6,3.1,6.3,2.6,0.0
Achillea cretica,8.0,11.0,3.0,8.0,6.0,3.0
Achillea crithmifolia,7.0,7.33,4.5,5.5,4.5,0.0
Achillea distans,7.12,,4.81,5.7,4.17,0.0
Achillea erba-rotta,9.0,1.33,4.75,2.5,1.75,0.0
Achillea euxina,8.5,5.75,5.25,,,
Achillea filipendulina,8.0,7.0,4.0,8.0,7.0,0.0
Achillea fraasii,8.7,6.1,3.5,6.1,1.7,0.0
Achillea glaberrima,8.5,5.25,5.25,,,
Achillea holosericea,8.4,5.5,3.3,5.9,2.5,0.0
Achillea horanszkyi,8.0,8.0,2.0,7.0,1.0,0.0
Achillea inundata,8.0,5.0,7.0,,,
Achillea leptophylla,8.5,5.25,2.38,,,
Achillea ligustica,7.5,9.0,4.0,5.7,4.5,0.0
Achillea lingulata,6.7,4.4,6.0,6.2,5.4,0.0
Achillea macrophylla,6.33,2.25,6.0,6.3,7.67,0.0
Achillea maritima,9.0,,3.67,6.5,,3.75
Achillea micrantha,8.0,5.75,4.0,,,
Achillea micranthoides,8.5,5.75,4.5,,,
Achillea millefolium aggr.,7.94,,4.05,5.8,,0.88
Achillea nana,8.5,1.0,5.0,4.5,1.5,0.0
Achillea nobilis,8.0,6.9,3.7,8.0,1.25,0.0
Achillea ochroleuca,8.75,6.25,3.38,8.0,1.0,0.0
Achillea odorata,9.0,6.0,1.0,8.0,1.0,
Achillea oxyloba,8.0,2.33,5.0,7.5,2.5,0.0
Achillea pannonica,7.7,6.67,3.95,6.5,2.25,0.25
Achillea ptarmica,7.54,5.17,7.53,4.2,3.03,0.0
Achillea pyrenaica,8.0,3.0,6.5,3.0,3.0,0.0
Achillea roseoalba,7.5,6.67,4.0,6.5,6.5,0.0
Achillea rupestris,7.0,4.5,2.0,7.0,1.0,0.0
Achillea salicifolia,7.5,5.0,8.0,7.0,6.0,0.0
Achillea setacea,8.5,6.75,2.45,7.0,1.25,0.75
Achillea styriaca,7.0,5.5,4.0,6.0,4.0,0.0
Achillea tomentosa,9.0,6.0,4.0,3.0,2.0,0.0
Achillea umbellata,8.2,5.7,3.4,6.6,2.0,0.0
Achillea virescens,7.0,5.0,3.5,7.0,1.5,0.0
Achnatherum bromoides aggr.,7.83,,3.5,8.0,2.0,0.0
Achnatherum calamagrostis,9.0,6.0,3.0,8.3,2.0,0.0
Achyranthes sicula,8.0,10.0,2.0,4.0,1.0,0.0
Acis autumnalis,9.0,9.0,1.0,5.0,2.0,0.0
Acis fabrei,8.0,8.5,4.0,7.0,3.0,0.0
Acis longifolia,8.0,8.0,5.0,4.0,4.0,0.0
Acis nicaeensis,8.0,8.5,4.0,7.0,3.0,0.0
Acis rosea,9.0,9.5,2.0,6.0,3.0,0.5
Aconitum angustifolium,9.0,4.0,4.0,6.0,7.0,0.0
Aconitum anthora,6.7,,4.72,7.3,4.5,0.0
Aconitum besserianum,5.0,4.75,6.5,,,
Aconitum bucovinense,6.5,2.5,7.0,,,
Aconitum burnatii,6.0,2.67,7.0,7.0,6.5,0.0
Aconitum degenii,5.81,2.67,6.72,7.0,7.0,0.0
Aconitum firmum,5.5,3.38,6.88,6.0,6.0,0.0
Aconitum lycoctonum,,4.26,,7.2,,0.0
Aconitum moldavicum,,4.31,6.31,6.0,6.0,0.0
Aconitum napellus aggr.,6.83,3.08,,6.9,6.6,0.0
Aconitum pilipes,,3.0,,,,
Aconitum variegatum,5.42,4.18,6.51,7.7,6.8,0.0
Aconogonon alpinum,7.5,3.25,4.83,4.5,3.0,0.0
Acorus calamus,8.0,6.32,9.78,7.0,7.17,0.17
Actaea europaea,4.5,4.75,5.42,8.0,7.0,0.0
Actaea spicata,2.94,4.53,5.38,6.9,6.57,0.0
