species,aggregate_species,dataset_1_region,dataset_2_region,evergreen,gymnosperm,shade_tolerance,drought_tolerance,waterlogging_tolerance
Abelia × grandiflora (A. chinesis × A. uniflora),N,East Asia,East Asia,Y,N,3.5,2,1
Abies alba,N,Europe,Europe,Y,Y,4.6±0.06,1.81±0.28,1.02±0.02
Abies amabilis,N,North America,North America,Y,Y,4.21±0.37,0.83±0.17,1
Abies balsamea,N,North America,North America,Y,Y,5.01±0.09,1,2
Abies concolor,N,North America,North America,Y,Y,4.33±0.28,1.91±0.12,1.02±0.02
Abies firma,N,East Asia,East Asia,Y,Y,4.5,3,1
Abies fraseri,N,North America,North America,Y,Y,5±0,2,2
Abies grandis,N,North America,North America,Y,Y,4.01±0.19,2.33±0.33,1.57±0.3
Abies homolepis,N,East Asia,East Asia,Y,Y,4.5,2.5±0.5,1.5
Abies lasiocarpa,N,North America,North America,Y,Y,4.83±0.15,2.02±0.02,0.97±0.04
Abies magnifica,N,North America,North America,Y,Y,3.5±0.22,0.67±0.33,1
Abies mariesii,N,East Asia,East Asia,Y,Y,5,2,2±0.5
Abies nordmanniana,N,Europe,Europe,Y,Y,4.5,1,1.5
Abies procera,N,North America,North America,Y,Y,2.45±0.42,2.5,1
Abies sibirica,N,East Asia,East Asia,Y,Y,4.09±0.32,1.41±0.15,1.57±0.16
Abies veitchii,N,East Asia,East Asia,Y,Y,4.5,2.5±0.5,2±0
Acacia rigidula,N,North America,North America,N,N,1,5,1
Acer barbatum,N,North America,North America,N,N,4.5,2.5±0.5,1
Acer buergerianum,N,East Asia,East Asia,N,N,3,2.75,1.53
Acer campestre,N,Europe,Europe,N,N,3.18±0.14,2.93±0.32,1.89±0.18
Acer carpinfolium,N,East Asia,East Asia,N,N,3.5,1,1.5
Acer circinatum,N,North America,North America,N,N,4.75±0.25,2,1
Acer ginnala,N,East Asia,East Asia,N,N,3±0,2.88±0.12,1.27±0.27
Acer glabrum,N,North America,North America,N,N,3.39±0.39,2.88±0.12,1.27±0.27
