usda_id,symbol,scientific_name,common_name,family,drought_tolerance,moisture_use,shade_tolerance,salinity_tolerance,anaerobic_tolerance,fire_tolerance,ph_minimum,ph_maximum,precipitation_minimum,precipitation_maximum,temperature_minimum_degf,frost_free_days_minimum,toxicity,active_growth_period,adapted_to_coarse_textured_soils,adapted_to_fine_textured_soils,adapted_to_medium_textured_soils,after_harvest_regrowth_rate,berry_nut_seed_product,bloat,bloom_period,c:n_ratio,caco3_tolerance,christmas_tree_product,cold_stratification_required,commercial_availability,coppice_potential,fall_conspicuous,fertility_requirement,fire_resistant,flower_color,flower_conspicuous,fodder_product,foliage_color,foliage_porosity_summer,foliage_porosity_winter,foliage_texture,fruit_seed_abundance,fruit_seed_color,fruit_seed_conspicuous,fruit_seed_period_begin,fruit_seed_period_end,fruit_seed_persistence,fuelwood_product,growth_form,growth_rate,hedge_tolerance,height_at_20_years_maximum_feet,height_mature_feet,known_allelopath,leaf_retention,lifespan,low_growing_grass,lumber_product,naval_store_product,nitrogen_fixation,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,planting_density_per_acre_maximum,planting_density_per_acre_minimum,post_product,propagated_by_bare_root,propagated_by_bulb,propagated_by_container,propagated_by_corm,propagated_by_cuttings,propagated_by_seed,propagated_by_sod,propagated_by_sprigs,propagated_by_tubers,protein_potential,pulpwood_product,resprout_ability,root_depth_minimum_inches,seed_per_pound,seed_spread_rate,seedling_vigor,shape_and_orientation,small_grain,vegetative_spread_rate,veneer_product
15316,ABCO,Abies concolor,white fir,Pinaceae,Medium,Medium,Medium,None,None,Medium,5.5,7.8,18,80,-38,80,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,Yes,Yes,Routinely Available,No,No,Medium,No,Red,No,No,Green,Dense,Dense,Medium,Medium,Brown,No,Summer,Fall,No,Low,Single Stem,Slow,Low,20,120.0,No,Yes,Long,No,Yes,No,None,Yes,Low,,No,1200,300,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,Yes,No,40,15920,Moderate,Medium,Conical,No,None,Yes
15321,ABGR,Abies grandis,grand fir,Pinaceae,Medium,Medium,Low,None,Low,High,4.5,7.5,11,100,-33,60,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,Yes,Yes,Field Collections Only,No,No,Medium,Yes,,No,No,Green,Dense,Dense,Medium,Medium,Brown,No,Summer,Fall,No,Low,Single Stem,Moderate,Low,25,150.0,No,Yes,Long,No,Yes,No,None,Yes,Low,,No,1200,300,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,Yes,No,20,23200,Slow,Low,Conical,No,None,Yes
15308,ABAM,Abies amabilis,Pacific silver fir,Pinaceae,Low,Medium,Low,None,None,None,3.3,6.0,38,260,-28,90,None,Spring and Summer,Yes,Yes,Yes,,No,None,Late Spring,High,Low,Yes,Yes,Routinely Available,No,Yes,Low,No,Yellow,No,No,Gray-Green,Dense,Dense,Medium,Low,Brown,No,Summer,Fall,No,Low,Single Stem,Slow,None,20,165.0,No,Yes,Long,No,Yes,No,None,No,Low,,No,700,300,No,Yes,No,Yes,No,No,Yes,No,No,No,,Yes,No,36,11280,Slow,Low,Erect,No,None,Yes
15319,ABFR,Abies fraseri,Fraser fir,Pinaceae,Low,Medium,Low,Low,Low,Low,3.5,5.5,45,100,-23,90,None,Spring and Summer,Yes,No,Yes,,No,None,Mid Spring,High,Low,Yes,No,Routinely Available,No,No,Low,No,Purple,No,No,Dark Green,Moderate,Moderate,Medium,Medium,Brown,Yes,Spring,Fall,Yes,Low,Single Stem,Moderate,Low,20,55.0,No,Yes,Moderate,No,No,No,None,Yes,Low,,No,1200,435,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,Yes,Yes,6,60800,Slow,Medium,Erect,No,None,Yes
15309,ABBA,Abies balsamea,balsam fir,Pinaceae,Low,Medium,Low,None,None,Low,4.0,6.0,13,60,-43,80,None,Spring and Summer,Yes,Yes,Yes,,No,None,Mid Summer,High,Low,Yes,Yes,Routinely Available,No,No,Medium,No,Yellow,No,No,Green,Dense,Dense,Medium,Medium,Brown,No,Fall,Fall,No,Low,Single Stem,Slow,Low,18,60.0,No,Yes,Short,No,Yes,Yes,None,Yes,Medium,,No,1200,300,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,Yes,No,20,59840,Slow,Low,Conical,No,None,Yes
42690,ABGR4,Abelia ×grandiflora [chinensis × uniflora],glossy abelia,Caprifoliaceae,Medium,Medium,Low,Low,None,Medium,5.7,7.0,35,60,-8,150,None,"Spring, Summer, Fall",Yes,No,Yes,,No,None,Late Summer,High,None,No,No,Routinely Available,No,Yes,Medium,No,Purple,Yes,No,Dark Green,Dense,Moderate,Medium,None,Brown,No,Summer,Fall,No,,Multiple Stem,Rapid,Medium,6,6.0,No,Yes,Moderate,No,No,No,None,Yes,Low,,No,2700,1200,No,Yes,No,Yes,No,Yes,No,No,No,No,Low,No,Yes,12,,None,,Semi-Erect,No,None,No
15328,ABLA,Abies lasiocarpa,subalpine fir,Pinaceae,Low,Medium,Low,None,None,Low,4.0,6.5,20,150,-51,120,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,Yes,Yes,Routinely Available,No,No,Medium,No,,No,No,Green,Dense,Dense,Medium,Medium,Brown,No,Summer,Fall,No,Low,Single Stem,Slow,Low,15,90.0,No,Yes,Long,No,Yes,No,None,Yes,Low,,No,1200,300,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,Yes,No,40,37440,Slow,Low,Conical,No,None,No
15340,ABMA,Abies magnifica,California red fir,Pinaceae,Low,Medium,Low,Low,None,Low,5.0,6.1,33,64,-23,90,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,Yes,Yes,Contracting Only,No,No,Low,Yes,Brown,No,No,Dark Green,Moderate,Moderate,Medium,High,Brown,Yes,Summer,Fall,Yes,Low,Single Stem,Slow,Low,35,150.0,No,Yes,Long,No,Yes,No,None,Yes,Low,Low,No,1200,430,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Low,Yes,No,20,5680,Slow,Medium,Erect,No,None,Yes
15346,ABPR,Abies procera,noble fir,Pinaceae,Low,Low,Medium,None,None,Low,6.0,7.5,64,120,-23,50,None,Spring and Summer,Yes,No,Yes,,No,None,Late Spring,High,Low,Yes,Yes,Contracting Only,No,No,Low,No,,No,No,Dark Green,Dense,Dense,Medium,Low,Purple,Yes,Spring,Fall,Yes,Medium,Single Stem,Rapid,Low,25,230.0,No,Yes,Long,No,Yes,No,None,Yes,Low,Low,No,1200,430,No,Yes,No,Yes,No,No,Yes,No,No,No,Low,Yes,No,20,14640,Slow,Low,Erect,No,None,Yes
15342,ABMAS,Abies magnifica var. shastensis,Shasta red fir,Pinaceae,Low,Medium,Medium,Low,None,Low,6.0,7.5,30,60,-23,90,None,Spring and Summer,Yes,No,Yes,,No,None,Mid Spring,High,Low,Yes,Yes,Contracting Only,No,No,Low,Yes,Brown,No,No,Dark Green,Moderate,Moderate,Medium,High,Brown,Yes,Spring,Fall,Yes,Low,Single Stem,Slow,Low,25,180.0,No,Yes,Long,No,Yes,No,None,Yes,Low,Low,No,1200,430,No,Yes,No,Yes,No,No,Yes,No,No,No,,Yes,No,20,5680,Slow,Medium,Erect,No,None,Yes
